Symbol,A017670,A000660,A010950,A010130,A000270,A004370,A003490,A011170,A005930,A003550,A007310,A005490,A015760,A018880,A012330,A000720,A005380,A004020,A009540,A008770
Symbol Name,SK텔레콤,SK하이닉스,S-Oil,고려아연,기아차,농심,대한항공,롯데케미칼,삼성전자,LG,오뚜기,POSCO,한국전력,한온시스템,현대모비스,현대건설,현대차,현대제철,현대중공업,호텔신라
Kind,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
2003.4.30,0.104575163,0.218867925,0.302631579,0.101123596,0.191819464,0.201858307,0.215772618,0.058925477,0.073943662,0.269352457,0.319559229,0.040609137,0.142458101,0.227920228,0.254545455,0.403618613,0.195833333,0.337142857,0.336152746,0.107142857
2003.5.31,0.124260355,0.181114551,0.060606061,0.020408163,0.050887574,0.093928062,0.090961475,0.080196399,0.062295082,-0.008474576,0.164926931,0.048780488,-0.024449878,0.273781903,0.15320911,0.154494594,0.003484321,0.138461538,-0.008471421,0.079569892
2003.6.30,0.073684211,0.517693316,-0.023809524,0.075,-0.009009009,0.202015294,0.087300988,0.063636364,0.095679012,0.135579018,0.021505376,0.153488372,-0.052631579,0.038251366,0.1005386,-0.074326315,0.097222222,-0.039039039,0.049056427,-0.042828685
2003.7.31,0.004901961,0.276338515,0.012195122,0.044186047,0.026136364,-0.014184397,-0.032824427,0.183760684,0.171830986,-0.117325856,-0.035087719,0.14516129,-0.002645503,0.177192982,0.10766721,-0.150613703,0.113924051,0.053125,0.024388061,-0.017689906
2003.8.31,-0.019512195,0.078484438,0.108433735,0.093541203,0.011074197,-0.064748201,0.120685944,0.081829122,0.045673077,0.091456278,-0.036363636,-0.021126761,0.023872679,0.119225037,0.222385862,-0.011826927,0.113636364,0.115727003,0.202385113,0.131355932
2003.9.30,-0.084577114,-0.158092848,-0.047826087,-0.091649695,-0.123767798,-0.015384615,-0.087521608,-0.087875417,-0.098850575,-0.072610294,-0.052830189,-0.050359712,0.121761658,-0.054593875,-0.108433735,0.033503308,-0.155612245,-0.069148936,-0.099000908,-0.157303371
2003.10.31,0.135869565,0.122205663,0.257990868,0.179372197,0.0375,0.3515625,0.166081953,0.156097561,0.198979592,0.198876776,0.129482072,0.045454545,0.055427252,0.184507042,0.235135135,-0.5,0.1918429,0.071428571,0.230766129,0.104444444
2003.11.30,-0.071770335,-0.119521912,-0.003629764,-0.011406844,0.265060241,0.294797688,0.12654191,0.092827004,-0.010638298,-0.104574263,0.08994709,0.036231884,0.10940919,0.136741974,0.159737418,-0.134235851,0.155893536,0.26,0.127969073,0.106639839
2003.12.31,0.025773196,-0.155354449,0.02003643,0.207692308,0.038095238,0.066964286,0.039365452,0.187258687,-0.030107527,-0.069549161,0.098705502,0.13986014,-0.15581854,0.124476987,0.209433962,0.224566692,0.10745614,0.111111111,-0.010543437,-0.001818182
2004.1.31,0.092964824,0.598214286,0.146428571,0.007961783,0.004587156,-0.10251046,-0.078421296,-0.056910569,0.161862528,0.164048288,-0.072164948,-0.039877301,-0.056074766,-0.111627907,-0.093603744,-0.219230769,-0.015841584,-0.047619048,-0.056008924,-0.051001821
2004.2.29,0.094252874,0.002234637,0.327102804,-0.077409163,-0.00456621,-0.067599068,0.002955445,-0.087931034,0.040076336,0.150163375,0.00952381,0.10543131,0.024752475,0.02617801,-0.08777969,0.128078818,0.006036217,0.26,0.016947571,0.061420345
2004.3.31,-0.098739496,0.365663322,0.079812207,-0.215753425,0.082568807,0.11,0.032191705,-0.120982987,0.049541284,0.17576581,-0.040880503,-0.063583815,-0.026570048,-0.035714286,-0.009433962,-0.087336245,0.048,-0.047619048,-0.122221203,0.146473779
2004.4.30,-0.067599068,-0.028571429,0.017391304,-0.126637555,-0.076271186,0.015765766,-0.093509292,-0.060215054,-0.026223776,0.298875932,-0.098360656,-0.114197531,-0.047146402,-0.005291005,-0.04,-0.161722488,-0.145992366,-0.05,-0.140841636,-0.082018927
2004.5.31,-0.02,-0.054621849,0.025641026,-0.0725,-0.125688073,-0.011086475,-0.081228831,-0.068649886,-0.091561939,-0.064946619,-0.090909091,-0.024390244,-0.03125,-0.056382979,-0.097222222,-0.151826484,-0.027932961,-0.201754386,0.031342497,-0.140893471
2004.6.30,-0.030612245,0.124444444,0.004166667,0.029649596,0.03567681,0.177130045,0.020372526,-0.031941032,-0.057312253,0.072571577,-0.02,0.064285714,0,0.089064262,0.127472527,-0.039030956,0.02183908,0.012087912,-0.019657179,0.068
2004.7.31,-0.163157895,-0.288537549,0.070539419,-0.112565445,-0.078014184,-0.121904762,-0.050009508,0.063451777,-0.125786164,0,-0.17755102,0.070469799,0.056451613,-0.068322981,-0.040935673,0.015406162,-0.023622047,0.096634093,-0.109279756,-0.041198502
2004.8.31,0.091194969,0.161111111,-0.046511628,0.109144543,0.10989011,0.045553145,0.143915132,0.059665871,0.081534772,0.225806452,0.245657568,0.037617555,0.030534351,0.098888889,0.150406504,0.462068966,0.149769585,0.183168317,0.063392013,0.09375
2004.9.30,0.011527378,0.004784689,0.162601626,0.135638298,0.04950495,0.020746888,-0.033770779,0.027027027,0.015521064,0.003289474,0.071713147,0.036253776,0.074074074,0.05156724,0.024734982,0.212264151,0.064128257,0.071129707,0.192302807,0.008928571
2004.10.31,0,0.20952381,-0.012237762,0.077283372,-0.009433962,-0.044715447,0.088917059,-0.039473684,-0.040393013,-0.02295082,0.185873606,-0.023323615,0.064367816,-0.0625,-0.010344828,0.214007782,0.02259887,-0.07421875,0.09353361,0.017699115
2004.11.30,0.128205128,-0.18503937,0.16460177,0.308695652,-0.048571429,-0.046808511,0.075780254,0.150684932,-0.011376564,0.077181208,0.269592476,0.167164179,0.13174946,0.01025641,0.087108014,-0.102564103,-0.049723757,0.164556962,-0.113557396,0.168695652
2004.12.31,-0.005050505,0.125603865,0.018237082,0.056478405,0.091091091,0.113839286,0.021694321,-0.040674603,0.036823936,0.052959502,0.133333333,-0.043478261,0.02480916,0.040609137,0.049679487,0.110714286,0.075581395,-0.02173913,0.146420983,-0.066964286
2005.1.31,-0.091370558,0.115879828,-0.014925373,0.15408805,0.155963303,-0.028056112,-0.03979422,-0.017580145,0.098779134,0.183431953,0.503267974,-0.002673797,0.03538175,-0.024390244,0.070229008,0.186495177,0.048648649,-0.059259259,0.284454386,0.052631579
2005.2.28,0.011173184,0.157692308,0.106060606,0.069482289,0.126984127,0.175257732,0.138092237,0.162105263,0.064646465,0.4,0.057971014,0.18766756,-0.010791367,-0.093,-0.032810271,-0.002710027,-0.005154639,0.578740157,0.134462771,0.075757576
2005.3.31,-0.055248619,-0.132890365,0.079452055,-0.136305732,-0.014084507,0.01754386,-0.038814787,-0.057971014,-0.04743833,-0.128571429,-0.104109589,-0.09255079,-0.050909091,-0.019845645,-0.02359882,-0.046195652,-0.050086356,-0.187032419,0.013946757,-0.061971831
2005.4.30,-0.043859649,-0.072796935,-0.121827411,-0.085545723,-0.117857143,0.051724138,-0.073225775,-0.143269231,-0.099601594,-0.057377049,0.00764526,-0.106965174,0.107279693,-0.05511811,-0.019637462,0.253561254,-0.02,-0.042944785,-0.003914529,0.007507508
